,자치구별,계약연도,범죄건수,정류장수,편의점수,카페수,학교수,병원수,학원수,대학교수,매매가,전월세가
0,종로구,2018,364,382,87,877,50,496,274,3.0,764.0,419.0
1,중구,2018,357,207,198,1072,42,558,119,2.0,871.0,482.0
2,용산구,2018,417,349,105,391,44,304,158,1.0,1200.0,508.0
3,성동구,2018,204,439,108,344,50,432,314,2.0,1048.0,542.0
4,광진구,2018,363,286,137,374,52,553,430,3.0,943.0,538.0
5,동대문구,2018,243,318,154,395,58,603,363,4.0,693.0,408.0
6,중랑구,2018,238,379,144,247,57,498,273,1.0,541.0,305.0
7,성북구,2018,303,611,121,433,73,530,464,6.0,629.0,407.0
8,강북구,2018,273,460,90,211,41,450,218,0.0,563.0,336.0
9,도봉구,2018,177,386,113,229,56,364,335,1.0,504.0,276.0
10,노원구,2018,293,537,139,433,118,717,747,6.0,601.0,297.0
11,은평구,2018,312,499,135,387,84,644,521,1.0,627.0,369.0
12,서대문구,2018,278,444,124,492,47,430,345,6.0,727.0,436.0
13,마포구,2018,735,569,219,943,54,715,644,2.0,989.0,512.0
14,양천구,2018,193,363,147,357,79,627,1062,0.0,811.0,494.0
15,강서구,2018,424,576,209,748,104,802,707,1.0,728.0,406.0
16,구로구,2018,405,478,156,407,65,556,427,3.0,595.0,360.0
17,금천구,2018,273,342,133,324,39,339,222,0.0,516.0,335.0
18,영등포구,2018,592,491,263,799,52,738,467,0.0,845.0,445.0
19,동작구,2018,416,460,118,416,51,570,458,3.0,880.0,502.0
20,관악구,2018,545,485,250,479,72,681,450,1.0,642.0,369.0
21,서초구,2018,635,648,298,949,62,1201,1130,1.0,1461.0,645.0
22,강남구,2018,1010,534,558,1679,101,2594,2263,0.0,1702.0,654.0
23,송파구,2018,515,413,108,445,104,1129,1051,1.0,1201.0,577.0
24,강동구,2018,241,349,220,416,73,771,638,0.0,858.0,472.0
25,종로구,2019,370,375,94,896,50,494,259,3.0,1015.0,538.0
26,중구,2019,314,211,215,1135,42,560,118,2.0,1024.0,453.0
27,용산구,2019,362,344,118,422,44,307,155,1.0,1463.0,532.0
28,성동구,2019,205,442,123,383,50,444,293,2.0,1245.0,558.0
29,광진구,2019,415,292,181,443,52,552,406,3.0,1105.0,546.0
30,동대문구,2019,249,319,188,408,58,607,368,4.0,840.0,423.0
31,중랑구,2019,212,380,186,296,57,511,276,1.0,660.0,370.0
32,성북구,2019,259,604,148,455,73,528,450,6.0,771.0,415.0
33,강북구,2019,239,448,107,221,41,461,209,0.0,665.0,339.0
34,도봉구,2019,136,391,129,249,56,369,317,1.0,594.0,282.0
35,노원구,2019,272,544,153,475,118,725,740,6.0,703.0,304.0
36,은평구,2019,283,511,126,368,85,662,525,1.0,729.0,395.0
37,서대문구,2019,268,446,160,525,47,435,346,6.0,922.0,463.0
38,마포구,2019,673,568,202,851,54,730,683,2.0,1221.0,536.0
39,양천구,2019,199,365,174,392,79,626,1037,0.0,1038.0,483.0
40,강서구,2019,442,603,260,842,104,836,693,1.0,852.0,442.0
41,구로구,2019,363,513,184,414,67,559,406,3.0,707.0,362.0
42,금천구,2019,221,362,162,339,39,356,224,0.0,619.0,346.0
43,영등포구,2019,520,504,303,844,52,756,446,0.0,1039.0,478.0
44,동작구,2019,367,447,141,439,51,576,465,3.0,1066.0,499.0
45,관악구,2019,579,485,278,527,72,693,443,1.0,757.0,380.0
46,서초구,2019,785,649,314,974,62,1226,1119,1.0,1755.0,638.0
47,강남구,2019,1280,548,597,1794,101,2643,2279,0.0,2051.0,676.0
48,송파구,2019,459,429,123,476,106,1165,1115,1.0,1440.0,576.0
49,강동구,2019,280,385,254,471,73,789,672,0.0,1007.0,471.0
50,종로구,2020,272,374,84,862,50,494,243,3.0,1034.0,479.0
51,중구,2020,283,241,213,1149,42,572,109,2.0,1138.0,549.0
52,용산구,2020,319,327,129,444,44,310,154,1.0,1594.0,579.0
53,성동구,2020,171,433,126,422,50,456,289,2.0,1471.0,618.0
54,광진구,2020,352,288,200,503,52,552,405,3.0,1291.0,604.0
55,동대문구,2020,244,311,188,424,58,586,350,4.0,995.0,474.0
56,중랑구,2020,276,382,196,329,57,531,262,1.0,760.0,391.0
57,성북구,2020,212,599,165,492,73,540,439,6.0,914.0,462.0
58,강북구,2020,217,415,122,243,41,466,206,0.0,771.0,394.0
59,도봉구,2020,131,366,137,273,56,367,297,1.0,675.0,314.0
60,노원구,2020,236,538,165,484,118,734,718,6.0,844.0,332.0
61,은평구,2020,251,501,148,400,85,677,519,1.0,827.0,439.0
62,서대문구,2020,251,457,191,522,47,441,348,6.0,1038.0,499.0
63,마포구,2020,577,570,183,755,54,742,689,2.0,1344.0,519.0
64,양천구,2020,189,320,186,415,79,638,1008,0.0,1143.0,527.0
65,강서구,2020,410,611,279,907,103,861,694,1.0,964.0,453.0
66,구로구,2020,344,510,207,459,68,569,394,3.0,769.0,375.0
67,금천구,2020,183,357,173,375,39,354,212,0.0,739.0,412.0
68,영등포구,2020,484,494,326,864,52,779,445,0.0,1180.0,506.0
69,동작구,2020,305,440,147,432,51,588,471,3.0,1230.0,569.0
70,관악구,2020,557,470,265,559,72,698,431,1.0,871.0,411.0
71,서초구,2020,578,638,321,1005,62,1251,1148,1.0,1913.0,760.0
72,강남구,2020,1048,545,606,1834,101,2693,2361,0.0,2117.0,781.0
73,송파구,2020,444,440,160,585,106,1194,1076,1.0,1601.0,647.0
74,강동구,2020,289,383,268,517,74,823,724,0.0,1170.0,515.0
75,종로구,2021,271,369,85,850,50,489,217,3.0,1239.0,568.0
76,중구,2021,282,200,212,1148,42,572,91,2.0,1285.0,566.0
77,용산구,2021,248,328,130,449,44,323,137,1.0,1903.0,623.0
78,성동구,2021,220,445,144,437,50,460,290,2.0,1806.0,658.0
79,광진구,2021,325,270,220,551,52,559,426,3.0,1517.0,667.0
80,동대문구,2021,282,303,204,427,58,596,359,4.0,1174.0,513.0
81,중랑구,2021,273,380,223,367,57,535,257,1.0,969.0,419.0
82,성북구,2021,222,601,180,524,73,533,451,6.0,1144.0,497.0
83,강북구,2021,222,409,132,251,41,467,210,0.0,939.0,393.0
84,도봉구,2021,131,358,149,281,56,366,285,1.0,899.0,355.0
85,노원구,2021,293,527,189,523,118,737,684,6.0,1116.0,368.0
86,은평구,2021,293,497,166,408,84,688,509,1.0,1042.0,444.0
87,서대문구,2021,292,454,201,496,47,437,342,6.0,1256.0,533.0
88,마포구,2021,524,563,221,906,54,762,692,2.0,1568.0,585.0
89,양천구,2021,202,317,198,425,79,651,979,0.0,1353.0,535.0
90,강서구,2021,434,569,282,984,103,887,697,1.0,1175.0,470.0
91,구로구,2021,341,497,229,474,68,583,386,3.0,945.0,364.0
92,금천구,2021,246,342,203,400,39,356,208,0.0,914.0,403.0
93,영등포구,2021,480,466,330,916,53,793,440,0.0,1378.0,554.0
94,동작구,2021,304,437,161,453,51,595,487,3.0,1670.0,630.0
95,관악구,2021,528,467,285,593,72,710,434,1.0,1089.0,460.0
96,서초구,2021,540,605,317,1004,62,1306,1146,1.0,2208.0,796.0
97,강남구,2021,946,520,615,1873,101,2790,2383,0.0,2351.0,824.0
98,송파구,2021,496,414,208,692,106,1214,1045,1.0,1983.0,672.0
99,강동구,2021,234,365,280,579,76,852,654,0.0,1437.0,516.0
