"행정구역(시군구)별",2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"서울특별시",1472937,1571423,-98486,454536,564271,564271,454130,552616,1439707,1549937,-110230,430780,548796,548796,460131,570361,1426493,1476081,-49588,406796,543831,543831,475866,525454,1578127,1642977,-64850,444682,623431,623431,510014,574864,1418187,1524430,-106243,387416,569648,569648,461123,567366,1201527,1236867,-35340,302805,468146,468146,430576,465916
"종로구",28020,25814,2206,4512,14610,13178,8898,8124,23187,24798,-1611,3807,11098,12793,8282,8198,22271,23945,-1674,3443,10560,12982,8268,7520,23632,25254,-1622,3355,11704,13881,8573,8018,22204,24428,-2224,3223,11004,13008,7977,8197,19123,20556,-1433,2433,9193,11179,7497,6944
"중구",20904,20574,330,3338,11189,11319,6377,5917,20771,20873,-102,3424,10733,11100,6614,6349,19623,19384,239,3191,9912,10464,6520,5729,20777,21733,-956,3290,10760,11997,6727,6446,19917,21126,-1209,3015,10378,11274,6524,6837,16738,17465,-727,2338,8255,9406,6145,5721
"용산구",35154,36622,-1468,7302,16054,16866,11798,12454,37339,37801,-462,7853,16999,16873,12487,13075,35099,35673,-574,6998,15746,16435,12355,12240,40282,38985,1297,7599,19374,18523,13309,12863,36011,39572,-3561,7113,16799,18922,12099,13537,31046,32325,-1279,5811,14343,15305,10892,11209
"성동구",50416,46031,4385,11151,25046,20756,14219,14124,51358,49012,2346,12243,24275,22031,14840,14738,39922,48102,-8180,8737,17927,24606,13258,14759,45153,53096,-7943,10312,20969,26826,13872,15958,39831,46075,-6244,7867,19106,22939,12858,15269,34138,38153,-4015,6502,15383,19204,12253,12447
"광진구",56010,56647,-637,16364,22011,20936,17635,19347,55728,58774,-3046,17036,21274,21447,17418,20291,52191,57088,-4897,14861,19378,22499,17952,19728,55926,60703,-4777,15474,21585,24944,18867,20285,51522,56750,-5228,13736,20048,22708,17738,20306,45983,47193,-1210,11426,17713,19303,16844,16464
"동대문구",47899,52733,-4834,13489,18879,21618,15531,17626,54899,57605,-2706,15918,21820,22741,17161,18946,51660,53660,-2000,14093,20655,22474,16912,17093,54908,58135,-3227,14233,22290,24953,18385,18949,48955,51031,-2076,10881,20389,21435,17685,18715,44531,43365,1166,9306,18564,18308,16661,15751
"중랑구",56385,59947,-3562,22111,20569,16619,13705,21217,54168,59616,-5448,20671,19406,16476,14091,22469,49446,55932,-6486,18412,17726,17050,13308,20470,60214,62212,-1998,22003,23717,18719,14494,21490,52867,57957,-5090,19004,20585,17493,13278,21460,45183,45343,-160,14706,17791,14151,12686,16486
"성북구",61285,68221,-6936,20294,24663,27925,16328,20002,57147,65477,-8330,17850,22849,26886,16448,20741,67841,61169,6672,18649,30436,24257,18756,18263,62953,68231,-5278,17857,26351,29471,18745,20903,59054,62394,-3340,15232,26196,26356,17626,20806,52764,50725,2039,12903,22114,20958,17747,16864
"강북구",42231,44809,-2578,14164,18237,17229,9830,13416,40941,45800,-4859,14384,16708,17345,9849,14071,38046,42622,-4576,12253,15927,17706,9866,12663,41625,46656,-5031,13264,18126,18992,10235,14400,37057,42961,-5904,12081,15985,17098,8991,13782,31243,34364,-3121,9204,13227,14104,8812,11056
"도봉구",40965,45260,-4295,13548,16966,15818,10451,15894,39518,44213,-4695,13353,16245,14959,9920,15901,35445,41225,-5780,11370,14573,15080,9502,14775,40435,47892,-7457,13305,17053,17260,10077,17327,36895,42682,-5787,11844,15678,15237,9373,15601,28791,32358,-3567,8344,11974,11708,8473,12306
"노원구",64406,78488,-14082,23570,21744,25639,19092,29279,61867,72748,-10881,20348,22309,22561,19210,29839,57183,68095,-10912,18216,20083,23167,18884,26712,68176,77707,-9531,23390,24801,25592,19985,28725,58736,68473,-9737,18539,22295,22981,17902,26953,48607,53482,-4875,13649,17148,18242,17810,21591
"은평구",68402,73637,-5235,27968,22431,18672,18003,26997,67489,71519,-4030,26823,22289,17178,18377,27518,69399,72721,-3322,27569,22588,17515,19242,27637,76364,76165,199,27771,27369,19373,21224,29021,63269,66951,-3682,22712,22585,17449,17972,26790,55986,59509,-3523,19749,19254,16148,16983,23612
"서대문구",48534,50286,-1752,11716,21699,22362,15119,16208,45861,48484,-2623,11158,19492,20742,15211,16584,45729,46677,-948,10070,19646,20288,16013,16319,56504,53579,2925,12499,25780,23620,18225,17460,42484,47061,-4577,8262,18595,21779,15627,17020,43478,39904,3574,8029,19608,17451,15841,14424
"마포구",57490,63689,-6199,14608,23249,28404,19633,20677,60227,61071,-844,14817,24582,25393,20828,20861,57766,59573,-1807,13553,23286,25731,20927,20289,66215,68667,-2452,15705,27864,30927,22646,22035,61543,62124,-581,13751,26924,26899,20868,21474,49721,52169,-2448,10650,20559,23021,18512,18498
"양천구",54797,62729,-7932,17134,22226,23721,15437,21874,54579,62414,-7835,16607,22383,22756,15589,23051,50256,56733,-6477,14024,21068,22060,15164,20649,64081,68021,-3940,19084,27259,25827,17738,23110,54952,60442,-5490,15867,23326,22780,15759,21795,44539,49292,-4753,12077,18924,18728,13538,18487
"강서구",90217,86483,3734,28946,32381,23318,28890,34219,83699,90281,-6582,26562,28883,24894,28254,38825,78518,85057,-6539,24729,26068,25354,27721,34974,87198,99573,-12375,27937,29883,29855,29378,41781,87269,91368,-4099,28004,31430,25250,27835,38114,70228,73672,-3444,20267,24556,21733,25405,31672
"구로구",50077,58672,-8595,13395,17035,18527,19647,26750,51108,58543,-7435,13516,18279,17607,19313,27420,54791,53666,1125,12486,20568,17069,21737,24111,60885,64024,-3139,14660,20745,21172,25480,28192,48170,54880,-6710,11292,18189,17645,18689,25943,44870,45359,-489,9949,17057,14421,17864,20989
"금천구",34230,34907,-677,10288,10988,8764,12954,15855,33794,35508,-1714,9958,11073,8692,12763,16858,32416,33728,-1312,8757,10559,9172,13100,15799,35753,36963,-1210,9476,11899,10542,14378,16945,35663,35047,616,8884,12626,9594,14153,16569,30153,30370,-217,7191,10054,8904,12908,14275
"영등포구",62622,66039,-3417,15910,25762,27019,20950,23110,59862,62108,-2246,13239,24622,25540,22001,23329,56874,58253,-1379,11478,23115,25229,22281,21546,79309,68526,10783,17224,36063,28497,26022,22805,60565,61108,-543,11395,26801,26255,22369,23458,53661,53953,-292,10033,22696,23237,20932,20683
"동작구",60949,66978,-6029,14741,25321,28015,20887,24222,65099,66105,-1006,14489,28822,26972,21788,24644,61168,62047,-879,13135,25706,26513,22327,22399,64496,69650,-5154,13784,27698,32236,23014,23630,64257,68311,-4054,13934,28111,29136,22212,25241,53359,56607,-3248,10509,21501,24661,21349,21437
"관악구",90303,94943,-4640,26604,26843,32178,36856,36161,94403,96477,-2074,26397,28415,32225,39591,37855,93583,95788,-2205,26502,27024,33368,40057,35918,98301,103226,-4925,27197,29962,37731,41142,38298,89756,95711,-5955,23003,28513,34274,38240,38434,87212,83760,3452,20756,26252,29870,40204,33134
"서초구",68680,76574,-7894,20152,28160,32193,20368,24229,74658,83489,-8831,24245,29695,34480,20718,24764,63335,67634,-4299,16198,26537,29655,20600,21781,71250,77669,-6419,19374,30117,34269,21759,24026,70064,81777,-11713,21088,29154,35450,19822,25239,51077,57143,-6066,12630,21960,25024,16487,19489
"강남구",90474,103367,-12893,28057,33068,40280,29349,35030,91611,106802,-15191,28824,32819,42305,29968,35673,95557,93716,1841,25921,37000,37362,32636,30433,95325,101582,-6257,26024,36333,42554,32968,33004,94082,98106,-4024,25525,37476,39174,31081,33407,75316,76819,-1503,19287,29612,30518,26417,27014
"송파구",110872,107154,3718,37182,40957,30710,32733,39262,101060,101486,-426,33018,36128,28508,31914,39960,123273,116301,6972,44397,41824,32620,37052,39284,106928,116457,-9529,35767,36313,38141,34848,42549,105181,113651,-8470,33451,38244,36374,33486,43826,88263,86137,2126,26071,31370,26903,30822,33163
"강동구",81615,90819,-9204,37992,24183,22205,19440,30622,59334,68933,-9599,24240,17598,16292,17496,28401,75101,67292,7809,27754,25919,15175,21428,24363,101437,78271,23166,34098,39416,17529,27923,26644,77883,74444,3439,27713,29211,18138,20959,28593,55517,56844,-1327,18985,19038,15659,17494,22200
